NO_UJIAN;NIS;NISN;Nama Siswa;TTL;Nama Ortu;Kelas;NRR-PAI;NRR-PKn;NRR-BInd;NRR-MTK;NRR-IPA;NRR-IPS;NRR-BIng;NRR-SB;NRR-PJOK;NRR-PRK;Mulok1;Mulok2;Rata2;LULUS/TIDAK
02-18-13-22-202;212207001;001234567;SISWA 1;Jakarta, 18 September 2005;0RTU SISWA 1;IX-A;83;85;85;82;80;83;83;80;85;76;86;;82,55;1
02-18-13-22-203;212207002;001234568;SISWA 2;Jakarta, 24 April 2006;0RTU SISWA 2;IX-A;83;85;85;80;79;85;84;80;83;75;84;;82,09;1
02-18-13-22-204;212207003;001234569;SISWA 3;Jakarta, 27 Mei 2007;0RTU SISWA 3;IX-A;85;85;87;81;78;83;84;80;85;93;86;;84,27;1
02-18-13-22-205;212207004;001234570;SISWA 4;Bandung, 25 Juli 2006;0RTU SISWA 4;IX-A;90;87;88;84;83;92;84;85;85;93;90;;87,36;1
02-18-13-22-206;212207005;001234571;SISWA 5;Cirebon, 19 Mei 2007;0RTU SISWA 5;IX-A;85;85;85;83;87;90;84;85;84;88;90;;86;1
02-18-13-22-207;212207006;001234572;SISWA 6;Jakarta, 17 Oktober 2007;0RTU SISWA 6;IX-A;84;85;84;83;78;83;81;80;83;75;86;;82;1
02-18-13-22-208;212207007;001234573;SISWA 7;Jakarta, 30 Maret 2007;0RTU SISWA 7;IX-A;81;85;84;82;76;84;81;80;83;76;82;;81,27;1
02-18-13-22-209;212207008;001234574;SISWA 8;Jakarta, 29 Juli 2007;0RTU SISWA 8;IX-A;80;85;83;80;78;75;80;80;83;75;86;;80,45;1
02-18-13-22-210;212207009;001234575;SISWA 9;Jakarta, 15 Januari 2007;0RTU SISWA 9;IX-B;80;82;84;80;80;80;80;80;83;80;80;;80,82;1
02-18-13-22-211;212207010;001234576;SISWA 10;Jakarta, 11 April 2007;0RTU SISWA 10;IX-B;86;85;86;80;89;84;83;80;88;93;90;;85,82;1
